Time,Price,BarState,LiveState,Priority,Composite,TideComp,MarketPhase,InversionActive,RatioScore,FastScore,FastDir,SlowDir,Bias,Tier3Score,CombinedTier,BearDomPct,BullDomPct,DomPriceChange,PriceChangeShort,CountBull,CountBear
57:04.6,7247.75,TICK,BullTrend,P4_VOTE_BULL,-0.6,9.4,NEUTRAL,N,21.3,3,BAL,ASK,BAL,0,0,0,0,-0.25,-0.25,3,0
57:13.2,7248,TICK,BullTrend,P4_VOTE_BULL,-0.6,9.4,NEUTRAL,N,21.3,3.3,BAL,ASK,BAL,0,0,0,0,0,0,3,0
57:14.2,7248,TICK,BullTrend,P4_VOTE_BULL,0.2,9.8,NEUTRAL,N,25.2,-2.5,BAL,ASK_STRONG,BAL,0,0,0,0,0,0,3,0
57:18.0,7248,TICK,BullTrend,P4_VOTE_BULL,0.2,9.8,NEUTRAL,N,22.7,-12.9,BID,ASK,BAL,0,0,0,0,0,0,3,0
57:20.3,7248,TICK,BullTrend,P4_VOTE_BULL,0,10,NEUTRAL,Y,14.4,-13.2,BID,ASK,BAL,0,0,0,0,0.25,0,3,0
57:21.4,7248,TICK,BullTrend,P4_VOTE_BULL,0,10,NEUTRAL,N,9,-11.9,BID,BAL,BAL,0,0,0,0,0,0,3,0
57:23.1,7248,TICK,BullTrend,P4_VOTE_BULL,0.1,10,NEUTRAL,N,8.9,-11.1,BID,BAL,BAL,0,0,0,0,0,0,3,0
57:24.2,7247.75,TICK,BullTrend,P4_VOTE_BULL,-0.3,10,NEUTRAL,N,6.8,-11.5,BID,BAL,BAL,0,0,0,0,0,-0.25,3,0
57:26.6,7247.75,TICK,BullTrend,P4_VOTE_BULL,-0.3,9.8,NEUTRAL,N,7.7,-11.3,BID,BAL,BAL,0,0,0,0,-0.25,0,3,0
57:27.7,7247.75,TICK,BullTrend,P4_VOTE_BULL,-0.5,9.8,NEUTRAL,N,8.7,-9.5,BAL,BAL,BAL,0,0,0,0,0,0,3,0
57:29.1,7247.75,TICK,BullTrend,P4_VOTE_BULL,-0.7,9.8,NEUTRAL,N,9.3,-9,BAL,BAL,BAL,0,0,0,0,0,0,3,0
57:31.0,7247.75,TICK,BullTrend,P4_VOTE_BULL,-0.8,9.9,NEUTRAL,Y,10.1,-3.4,BAL,ASK,BAL,0,0,0,0,0,0,3,0
57:32.7,7247.75,TICK,BullTrend,P4_VOTE_BULL,-0.3,9.9,NEUTRAL,N,10.9,-1.3,BAL,ASK,BAL,0,0,0,0,0,0,3,0
57:34.5,7247.75,TICK,BullTrend,P4_VOTE_BULL,-0.2,9.9,NEUTRAL,N,11.2,-0.3,BAL,ASK,BAL,0,0,0,0,0,0,3,0
57:35.6,7247.5,TICK,BullTrend,P4_VOTE_BULL,0,9.9,NEUTRAL,Y,9.3,-6.5,BAL,BAL,BAL,0,0,0,0,-0.25,0,4,0
57:38.5,7247.5,TICK,BearWarning,P3_DISTRIBUTION,-3.2,9.7,DISTRIBUTION,N,7.6,-14.5,BID,BAL,BAL,0,0,0,0,-0.25,0,4,0
57:41.4,7247,TICK,BullTrend,P4_VOTE_BULL,-4.1,9,NEUTRAL,N,6.9,-19,BID,BAL,BAL,0,0,0,0,-0.75,0,3,0
57:42.6,7247,TICK,BullTrend,P4_VOTE_BULL,-4.6,8.6,NEUTRAL,N,2.1,-15,BID,BAL,BAL,0,0,0,0,-0.75,0,4,0
57:44.2,7247.25,TICK,BullTrend,P4_VOTE_BULL,-4.7,8.6,NEUTRAL,N,-0.3,-10.4,BID,BAL,BAL,0,0,0,0,-0.5,0.25,4,0
57:46.2,7247.25,TICK,BullTrend,P4_VOTE_BULL,-4.7,8.6,NEUTRAL,Y,-0.2,-12.2,BID,BAL,BAL,0,0,0,0,-0.5,0.25,4,0
57:48.1,7247.25,TICK,BullTrend,P4_VOTE_BULL,-5.1,8.6,NEUTRAL,Y,-0.8,-2.9,BAL,BAL,BAL,0,0,0,0,-0.5,0.25,4,0
57:49.7,7247.25,TICK,BullTrend,P4_VOTE_BULL,-5.1,8.6,NEUTRAL,Y,-0.6,-5.9,BAL,BAL,BAL,0,0,0,0,-0.5,0.25,4,0
57:52.1,7247.25,TICK,BullTrend,P4_VOTE_BULL,-4.9,8.6,NEUTRAL,N,-0.1,-0.4,BAL,BAL,BAL,0,0,0,0,-0.5,0,4,0
57:54.2,7247,TICK,BullTrend,P4_VOTE_BULL,-5.2,8.8,NEUTRAL,N,1.5,0.6,BAL,BAL,BAL,0,0,0,0,-0.75,0,4,0
57:59.0,7247.25,TICK,BullTrend,P4_VOTE_BULL,-4.8,8.8,NEUTRAL,N,2.8,7.9,BAL,BAL,BAL,0,0,0,0,-0.5,0.25,4,0
58:00.2,7247.25,TICK,BullTrend,P4_VOTE_BULL,-4.7,8.5,NEUTRAL,N,0.7,-12.1,BID,BAL,BAL,0,0,0,0,-0.5,0.25,4,0
58:01.3,7247.25,TICK,BullTrend,P4_VOTE_BULL,-5,8.5,NEUTRAL,Y,0.3,-15.4,BID,BAL,BAL,0,0,0,0,-0.5,0,4,0
58:02.3,7247.25,TICK,BullTrend,P4_VOTE_BULL,-5.1,8.5,NEUTRAL,N,-0.9,-19.8,BID,BAL,BAL,0,0,0,0,-0.5,0,4,0
58:03.6,7247.25,TICK,BullTrend,P4_VOTE_BULL,-4.8,8.5,NEUTRAL,N,-2.5,-29,BID_STRONG,BAL,BAL,0,0,0,0,-0.5,0,4,0
58:05.2,7247.25,TICK,BullTrend,P4_VOTE_BULL,-4.9,8.5,NEUTRAL,N,-2.7,-34.4,BID_STRONG,BAL,BAL,0,0,0,0,-0.5,0,4,0
58:06.6,7247.25,TICK,BullTrend,P4_VOTE_BULL,-4.7,8.5,NEUTRAL,N,-3.6,-37.5,BID_STRONG,BAL,BAL,0,0,0,0,-0.5,0,4,0
58:08.6,7247.25,TICK,BullTrend,P4_VOTE_BULL,-4.6,8.5,NEUTRAL,N,-4.3,-39.2,BID_STRONG,BAL,BAL,0,0,0,0,-0.5,0,4,0
58:11.3,7247.25,TICK,BullTrend,P4_VOTE_BULL,-4.2,8.5,NEUTRAL,N,-3.2,-38.2,BID_STRONG,BAL,BAL,0,0,0,0,-0.5,0,4,0
58:12.5,7247.5,TICK,BullTrend,P4_VOTE_BULL,-3.1,8.5,NEUTRAL,N,-3.9,-40.5,BID_STRONG,BAL,BAL,0,0,0,0,-0.25,0.25,4,0
58:15.4,7247.5,TICK,BullTrend,P4_VOTE_BULL,-2.7,8.7,NEUTRAL,N,-5.2,-44.2,BID_STRONG,BAL,BAL,0,0,0,0,-0.5,0.25,4,0
58:20.1,7247.5,TICK,BullTrend,P4_VOTE_BULL,-2.3,8.7,NEUTRAL,N,-6.3,-48.6,BID_STRONG,BAL,BAL,0,0,0,0,-0.5,0.25,4,0
58:22.5,7247.5,TICK,BullTrend,P4_VOTE_BULL,-2.3,8.7,NEUTRAL,N,-6.5,-49.6,BID_STRONG,BAL,BAL,0,0,0,0,-0.5,0.25,4,0
58:23.7,7247.5,TICK,BullTrend,P4_VOTE_BULL,-1.8,8.7,NEUTRAL,N,-6.5,-40.7,BID_STRONG,BAL,BAL,0,0,0,0,-0.5,0,4,0
58:25.3,7247.5,TICK,BullTrend,P4_VOTE_BULL,-3,8.3,NEUTRAL,Y,-6.3,-31,BID_STRONG,BAL,BAL,0,0,0,0,-0.5,0,4,0
58:30.3,7247.5,TICK,BullTrend,P4_VOTE_BULL,-3,8.3,NEUTRAL,N,-6.5,-17.1,BID,BAL,BAL,0,0,0,0,-0.25,0,3,0
58:34.1,7247.5,TICK,BullTrend,P4_VOTE_BULL,-2.9,8.3,NEUTRAL,N,-6.6,-13.8,BID,BAL,BAL,0,0,0,0,-0.25,0,3,0
58:36.1,7247.5,TICK,BullTrend,P4_VOTE_BULL,-3.6,8.1,NEUTRAL,Y,-5.1,-3,BAL,BAL,BAL,0,0,0,0,-0.5,0,3,0
58:40.1,7247.5,TICK,BullTrend,P4_VOTE_BULL,-3.5,8.1,NEUTRAL,N,-3.8,0.5,BAL,BAL,BAL,0,0,0,0,-0.5,0,3,0
