Time,Price,Lots,Side,Classification,ContributesTo,IcebergFlag,IcebergRefills,IcebergTotalVol,InversionActive,CompositePct,MarketPhase
26:26.4,7296,7,SELL,INVERTED,NET,ICEBERG_BID,8,59,INVERT,47.5,NEUTRAL
26:27.0,7296,18,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,10,123,INVERT,47.6,NEUTRAL
26:27.1,7296,4,SELL,INVERTED,NET,ICEBERG_BID,9,63,INVERT,47.3,NEUTRAL
26:28.7,7296,59,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,11,182,INVERT,47.2,NEUTRAL
26:28.7,7295.75,4,SELL,INVERTED,NET,ICEBERG_BID,10,67,INVERT,46.3,NEUTRAL
26:31.0,7296,3,BUY,INVERTED,NET,ICEBERG_ASK,12,185,INVERT,46.4,NEUTRAL
26:31.0,7296,16,SELL,INVERTED,NET+TIDE,ICEBERG_BID,11,83,INVERT,46.4,NEUTRAL
26:31.6,7296.25,2,BUY,INVERTED,NET,ICEBERG_ASK,13,187,INVERT,46.5,NEUTRAL
26:31.9,7296,45,SELL,INVERTED,NET+TIDE,ICEBERG_BID,12,128,INVERT,46.5,NEUTRAL
26:32.0,7296.25,20,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,14,207,INVERT,47,NEUTRAL
26:33.2,7296.25,10,SELL,INVERTED,NET+TIDE,,,,INVERT,46.8,NEUTRAL
26:33.3,7296.5,1,BUY,REAL_SMALL,NET,,,,FACE,47,NEUTRAL
26:33.4,7296.5,21,SELL,INVERTED,NET+TIDE,ICEBERG_BID,3,46,INVERT,47,NEUTRAL
26:33.4,7296.75,9,BUY,INVERTED,NET,,,,INVERT,47.4,NEUTRAL
26:34.1,7296.5,2,SELL,INVERTED,NET,ICEBERG_BID,4,48,INVERT,47.3,NEUTRAL
26:34.3,7296.75,30,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,3,40,INVERT,47.1,NEUTRAL
26:34.3,7296.5,10,SELL,INVERTED,NET+TIDE,ICEBERG_BID,5,58,INVERT,47.1,NEUTRAL
26:34.5,7296.75,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,4,41,FACE,47.3,NEUTRAL
26:35.4,7296.5,5,SELL,INVERTED,NET,ICEBERG_BID,6,63,INVERT,47.3,NEUTRAL
26:37.6,7296.75,38,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,5,79,INVERT,47.3,NEUTRAL
26:37.7,7296.5,1,SELL,REAL_SMALL,NET,ICEBERG_BID,7,64,FACE,46.9,NEUTRAL
26:37.7,7296.5,18,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,6,97,INVERT,46.6,NEUTRAL
26:37.8,7296.5,34,SELL,INVERTED,NET+TIDE,ICEBERG_BID,8,98,INVERT,45.9,NEUTRAL
26:38.1,7296.5,11,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,7,108,INVERT,46.5,NEUTRAL
26:39.6,7296.75,25,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,8,133,INVERT,46.5,NEUTRAL
26:39.9,7296.75,12,SELL,INVERTED,NET+TIDE,ICEBERG_BID,15,163,INVERT,46.1,NEUTRAL
26:39.9,7297,3,BUY,INVERTED,NET,ICEBERG_ASK,22,202,INVERT,45.9,NEUTRAL
26:40.0,7297,118,SELL,INVERTED,NET+TIDE,ICEBERG_BID,16,281,INVERT,46,NEUTRAL
26:40.4,7297.25,47,SELL,INVERTED,NET+TIDE,ICEBERG_BID,4,102,INVERT,47.4,NEUTRAL
26:40.4,7297.5,6,BUY,INVERTED,NET,,,,INVERT,47.9,NEUTRAL
26:40.5,7297.25,20,SELL,INVERTED,NET+TIDE,ICEBERG_BID,4,89,INVERT,47.6,NEUTRAL
26:41.2,7297.5,20,BUY,INVERTED,NET+TIDE,,,,INVERT,48.4,NEUTRAL
26:41.3,7297.25,1,SELL,REAL_SMALL,NET,ICEBERG_BID,4,74,FACE,47.8,NEUTRAL
26:42.3,7297.5,2,BUY,INVERTED,NET,,,,INVERT,47.8,NEUTRAL
26:43.6,7297.25,10,SELL,INVERTED,NET+TIDE,ICEBERG_BID,4,78,INVERT,47.8,NEUTRAL
26:44.0,7297.25,40,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,15,178,INVERT,48.3,NEUTRAL
26:44.8,7297,1,SELL,REAL_SMALL,NET,ICEBERG_BID,5,79,FACE,47.8,NEUTRAL
26:44.8,7297.25,11,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,4,39,INVERT,47.8,NEUTRAL
26:44.9,7297.25,7,SELL,INVERTED,NET,ICEBERG_BID,6,86,INVERT,47.8,NEUTRAL
26:45.0,7297.25,3,BUY,INVERTED,NET,ICEBERG_ASK,5,42,INVERT,47.8,NEUTRAL
26:45.2,7297.25,9,SELL,INVERTED,NET,ICEBERG_BID,7,95,INVERT,47.7,NEUTRAL
26:45.3,7297.5,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,6,43,FACE,47.8,NEUTRAL
26:45.5,7297.25,7,BUY,INVERTED,NET,ICEBERG_ASK,7,50,INVERT,47.9,NEUTRAL
26:45.5,7297.25,15,SELL,INVERTED,NET+TIDE,ICEBERG_BID,8,110,INVERT,47.8,NEUTRAL
26:45.6,7297.5,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,8,51,FACE,48.2,NEUTRAL
26:46.4,7297.25,6,BUY,INVERTED,NET,ICEBERG_ASK,9,57,INVERT,48.2,NEUTRAL
26:47.1,7297.25,12,SELL,INVERTED,NET+TIDE,ICEBERG_BID,9,122,INVERT,48.2,NEUTRAL
26:48.1,7297.25,23,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,10,80,INVERT,48.2,NEUTRAL
26:48.1,7297.25,13,SELL,INVERTED,NET+TIDE,ICEBERG_BID,10,135,INVERT,47.6,NEUTRAL
26:48.3,7297.5,9,BUY,INVERTED,NET,ICEBERG_ASK,11,89,INVERT,47.7,NEUTRAL
26:48.5,7297.25,9,BUY,INVERTED,NET,ICEBERG_ASK,12,98,INVERT,47.6,NEUTRAL
26:48.6,7297.25,6,SELL,INVERTED,NET,ICEBERG_BID,11,141,INVERT,47.4,NEUTRAL
26:49.0,7297.25,8,BUY,INVERTED,NET,ICEBERG_ASK,13,106,INVERT,47.5,NEUTRAL
26:49.2,7297.25,16,SELL,INVERTED,NET+TIDE,ICEBERG_BID,12,157,INVERT,47.5,NEUTRAL
26:49.7,7297.5,4,BUY,INVERTED,NET,ICEBERG_ASK,14,110,INVERT,47.5,NEUTRAL
26:50.1,7297.25,21,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,15,131,INVERT,47.4,NEUTRAL
26:50.2,7297.25,64,SELL,INVERTED,NET+TIDE,ICEBERG_BID,3,194,INVERT,47.1,NEUTRAL
26:50.2,7297,15,SELL,INVERTED,NET+TIDE,ICEBERG_BID,13,172,INVERT,48.1,NEUTRAL
26:51.0,7297.25,9,SELL,INVERTED,NET,ICEBERG_BID,14,181,INVERT,48.2,NEUTRAL
26:51.6,7297.5,10,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,16,141,INVERT,48.3,NEUTRAL
26:53.4,7297.25,42,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,3,85,INVERT,48,NEUTRAL
26:54.2,7297,1,SELL,REAL_SMALL,NET,ICEBERG_BID,15,182,FACE,47.6,NEUTRAL
26:54.4,7297.25,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,4,86,FACE,47.6,NEUTRAL
26:54.7,7297,24,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,5,110,INVERT,47.5,NEUTRAL
26:55.2,7296.75,55,SELL,INVERTED,NET+TIDE,ICEBERG_BID,4,249,INVERT,47.4,NEUTRAL
26:56.3,7296.75,3,BUY,INVERTED,NET,ICEBERG_ASK,6,113,INVERT,47.9,NEUTRAL
26:57.2,7296.5,9,SELL,INVERTED,NET,ICEBERG_BID,5,258,INVERT,47.9,NEUTRAL
26:57.7,7296.75,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,7,114,FACE,48.1,NEUTRAL
26:58.6,7296.5,3,SELL,INVERTED,NET,ICEBERG_BID,6,261,INVERT,48.1,NEUTRAL
26:58.6,7296.75,6,BUY,INVERTED,NET,ICEBERG_ASK,8,120,INVERT,48.2,NEUTRAL
26:58.7,7296.5,4,SELL,INVERTED,NET,ICEBERG_BID,7,265,INVERT,48.3,NEUTRAL
26:58.8,7296.75,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,9,121,FACE,48.2,NEUTRAL
26:59.0,7296.5,2,SELL,INVERTED,NET,ICEBERG_BID,8,267,INVERT,48.2,NEUTRAL
26:59.2,7296.75,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,10,122,FACE,48.2,NEUTRAL
26:59.3,7296.5,1,SELL,REAL_SMALL,NET,ICEBERG_BID,9,268,FACE,48.2,NEUTRAL
26:59.3,7296.75,5,BUY,INVERTED,NET,ICEBERG_ASK,11,127,INVERT,48.1,NEUTRAL
26:59.4,7296.5,1,SELL,REAL_SMALL,NET,ICEBERG_BID,10,269,FACE,48.1,NEUTRAL
26:59.5,7296.5,22,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,12,149,INVERT,48,NEUTRAL
26:59.5,7296.25,15,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,13,164,INVERT,47.8,NEUTRAL
26:59.6,7296.25,15,SELL,INVERTED,NET+TIDE,ICEBERG_BID,11,284,INVERT,47.3,NEUTRAL
26:59.9,7296.25,32,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,14,196,INVERT,47.4,NEUTRAL
27:00.0,7296.25,6,SELL,INVERTED,NET,ICEBERG_BID,12,290,INVERT,47.1,NEUTRAL
27:00.0,7296.5,17,SELL,INVERTED,NET+TIDE,ICEBERG_BID,13,307,INVERT,47.2,NEUTRAL
27:00.4,7296.25,1,SELL,REAL_SMALL,NET,ICEBERG_BID,14,308,FACE,47.3,NEUTRAL
27:01.9,7296.75,47,SELL,INVERTED,NET+TIDE,ICEBERG_BID,15,355,INVERT,47.3,NEUTRAL
27:01.9,7297,2,SELL,INVERTED,NET,ICEBERG_BID,16,357,INVERT,47.5,NEUTRAL
27:02.3,7297,25,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,15,221,INVERT,47.5,NEUTRAL
27:02.4,7297,14,SELL,INVERTED,NET+TIDE,ICEBERG_BID,16,196,INVERT,47.1,NEUTRAL
27:02.5,7297.25,14,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,17,155,INVERT,47.4,NEUTRAL
27:02.5,7297.5,5,BUY,INVERTED,NET,ICEBERG_ASK,18,160,INVERT,47,NEUTRAL
27:02.5,7297.25,6,BUY,INVERTED,NET,ICEBERG_ASK,19,166,INVERT,47.8,NEUTRAL
27:02.5,7297.25,2,SELL,INVERTED,NET,ICEBERG_BID,17,198,INVERT,47.8,NEUTRAL
27:02.7,7297.25,10,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,20,176,INVERT,48.1,NEUTRAL
